Strategy        |World           |Time    |Score           
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0000_TEST_Assis |default_AssistL |1000    |231143.0        
0001_TEST_Assis |default_AssistL |1000    |4698.0          
0000_TEST_Assis |default_AssistL |1000    |231143.0        
